ticker,price,amount,action,broker
VNO,44.88,30,Buy,Robinhood
NKLA,73,15,Buy,Robinhood
JETS,19.85,100,Buy,Robinhood
EVRI,7.43,138,Buy,Robinhood
VLRS,6.29,100,Buy,Robinhood
HTBX,0.7725,1500,Buy,Robinhood
HTBX,0.8088,1500,Buy,Robinhood
CPE,1.7,200,Buy,Robinhood
HUSA,0.1577,300,Buy,Robinhood
MTNB,0.8933,1500,Buy,Robinhood
PUYI,7.98,30,Buy,Robinhood
PLM,0.4494,500,Buy,Robinhood
PACD,0.61,2000,Buy,Robinhood
CANF,1.73,150,Buy,Robinhood
LK,4.31,50,Buy,Robinhood
GPRO,4.03,23,Buy,Robinhood
GPRO,4.01,23,Buy,Robinhood
MSFT,136.95,5,Buy,Robinhood
ZNGA,5.96,30,Buy,Robinhood
IDEX,3.41,500,Buy,Robinhood
IDEX,3.41,400,Buy,Robinhood
VNO,38.76,30,Sell,Robinhood
NKLA,66.16,15,Sell,Robinhood
JETS,16.38,100,Sell,Robinhood
EVRI,5.69,138,Sell,Robinhood
VLRS,6.01,100,Sell,Robinhood
HTBX,0.7903,1500,Sell,Robinhood
HTBX,1500,0.79,Sell,Robinhood
CPE,1.44,200,Sell,Robinhood
HUSA,0.1547,300,Sell,Robinhood
MTNB,0.8161,1500,Sell,Robinhood
PUYI,6.48,30,Sell,Robinhood
PLM,0.5025,500,Sell,Robinhood
PACD,0.62,2000,Sell,Robinhood
CANF,1.78,150,Sell,Robinhood
LK,4.3,50,Sell,Robinhood
GPRO,4.03,23,Sell,Robinhood
GPRO,4.38,23,Sell,Robinhood
MSFT,165.12,5,Sell,Robinhood
ZNGA,6.72,30,Sell,Robinhood
IDEX,3.31,500,Sell,Robinhood
IDEX,2.97,400,Sell,Robinhood